,MsSubClass,Zone,Neighborhood,Area,Room,YearBuilt,Sale-Rent,Document,Floor,AllFloors,Elevator,Warehouse,Parking,Reconstruction,Balconcy,PricePerMeter,TotalPrice
233,0,1,4,85,2,6,0,0,2,4,1,1,1,1,1,108235000.0,9200000000.0
234,0,1,3,85,2,6,0,2,3,4,1,1,1,0,0,135294000.0,11500000000.0
235,0,1,4,85,2,5,0,0,2,4,1,1,1,1,1,108235000.0,9200000000.0
236,0,1,27,85,2,1,0,0,1,4,1,1,1,0,1,141176000.0,12000000000.0
237,0,1,10,87,2,18,0,0,3,4,0,1,1,0,1,120689000.0,10500000000.0
238,0,1,8,87,2,17,0,0,1,4,1,1,1,1,1,149425000.0,13000000000.0
239,0,1,27,87,2,7,0,0,3,4,1,1,1,0,1,136781000.0,11900000000.0
240,0,1,16,88,2,13,0,0,3,4,1,1,1,0,0,170454000.0,15000000000.0
241,0,1,21,89,2,23,0,0,1,4,1,1,1,0,1,138202000.0,12300000000.0
242,0,1,27,90,2,27,0,0,3,4,1,1,1,0,0,100000000.0,9000000000.0
243,0,1,4,90,2,11,0,0,2,4,1,1,1,0,0,168888000.0,15200000000.0
244,0,1,27,90,2,10,0,0,1,4,1,1,1,1,1,116666000.0,10500000000.0
245,0,1,5,90,2,7,0,0,3,4,1,1,1,1,1,227777000.0,20500000000.0
246,0,1,10,90,2,6,0,0,3,4,1,1,1,0,1,255555000.0,23000000000.0
247,0,1,5,90,2,5,0,1,3,4,1,1,1,1,1,222222000.0,20000000000.0
248,0,1,6,90,2,2,0,0,4,4,1,1,1,0,1,155555000.0,14000000000.0
249,0,1,5,90,2,2,0,0,4,4,1,1,1,0,1,170000000.0,15300000000.0
250,0,1,9,90,2,1,0,0,2,4,1,1,1,0,1,160000000.0,14400000000.0
251,0,1,4,91,2,21,0,0,1,4,1,1,1,1,1,160439000.0,14600000000.0
252,0,1,27,92,2,22,0,0,3,4,1,1,1,0,0,97826000.0,9000000000.0
253,0,1,15,92,2,15,0,0,3,4,1,1,1,1,1,163043000.0,15000000000.0
254,0,1,28,92,2,14,0,0,2,4,1,1,1,1,1,130434000.0,12000000000.0
255,0,1,15,92,2,12,0,0,4,4,1,1,1,1,0,146739000.0,13500000000.0
256,0,1,4,92,2,7,0,0,2,4,1,1,1,0,1,152173000.0,14000000000.0
257,0,1,5,92,2,4,0,0,4,4,1,1,1,0,1,168478000.0,15500000000.0
258,0,1,5,92,2,2,0,0,1,4,1,1,1,1,1,195652000.0,18000000000.0
259,0,1,5,93,2,1,0,0,1,4,1,1,1,0,1,189247000.0,17600000000.0
260,0,1,6,94,2,13,0,0,1,4,1,1,1,1,1,138297000.0,12999999999.0
261,0,1,6,95,2,10,0,0,2,4,1,1,1,0,1,146315000.0,13900000000.0
262,0,1,15,95,1,8,0,0,4,4,1,1,1,1,1,160000000.0,15200000000.0
263,0,1,4,95,2,7,0,0,2,4,1,1,1,0,1,160000000.0,15200000000.0
264,0,1,25,96,2,29,0,0,4,4,1,1,1,0,1,137500000.0,13200000000.0
265,0,1,15,97,2,31,0,0,1,4,0,1,1,0,1,127319000.0,12350000000.0
266,0,1,25,97,2,30,0,0,2,4,1,1,1,0,1,164948000.0,16000000000.0
267,0,1,15,98,2,23,0,0,3,4,0,1,1,0,1,107142000.0,10500000000.0
268,0,1,9,99,2,21,0,0,3,4,0,1,1,1,1,104040000.0,10300000000.0
269,0,1,15,99,2,13,0,0,3,4,1,1,1,0,1,113131000.0,11200000000.0
270,0,1,8,99,2,4,0,0,3,4,1,1,1,1,1,176767000.0,17500000000.0
271,0,1,2,100,2,33,0,1,0,4,1,1,1,1,0,125000000.0,12500000000.0
272,0,1,21,100,2,30,0,0,3,4,0,1,1,0,1,100000000.0,10000000000.0
273,0,1,21,100,2,27,0,0,3,4,0,1,1,0,0,107000000.0,10700000000.0
274,0,1,9,100,2,25,0,0,3,4,0,1,1,1,1,106000000.0,10600000000.0
275,0,1,2,100,2,23,0,0,2,4,0,1,1,1,1,96000000.0,9600000000.0
276,0,1,21,100,2,23,0,0,3,4,0,1,1,1,1,103000000.0,10300000000.0
277,0,1,4,100,2,20,0,0,3,4,0,1,0,1,0,180000000.0,18000000000.0
278,0,1,19,100,2,18,0,0,4,4,1,1,1,1,1,139000000.0,13900000000.0
279,0,1,4,100,2,14,0,0,1,4,1,1,1,1,1,137000000.0,13700000000.0
280,0,1,7,100,2,13,0,0,2,4,1,1,1,1,1,125000000.0,12500000000.0
281,0,1,4,100,2,13,0,0,3,4,1,1,1,1,1,210000000.0,21000000000.0
282,0,1,10,100,2,12,0,0,3,4,1,1,1,0,1,200000000.0,20000000000.0
283,0,1,29,100,2,8,0,0,1,4,1,1,1,0,0,230000000.0,23000000000.0
284,0,1,8,100,2,4,0,0,3,4,1,1,1,0,1,176000000.0,17600000000.0
285,0,1,10,100,2,4,0,3,1,4,1,1,1,1,1,228000000.0,22800000000.0
286,0,1,12,100,2,3,0,0,4,4,1,1,1,0,1,100000000.0,10000000000.0
287,0,1,8,100,2,2,0,0,3,4,1,1,1,0,1,170000000.0,17000000000.0
288,0,1,25,102,2,29,0,0,1,4,1,1,1,1,1,215686000.0,22000000000.0
289,0,1,7,102,2,4,0,0,4,4,1,1,1,1,1,181372000.0,18500000000.0
290,0,1,15,105,2,28,0,1,2,4,0,1,1,0,1,112380000.0,11800000000.0
291,0,1,15,105,2,21,0,0,1,4,0,1,1,1,1,128571000.0,13500000000.0
292,0,1,15,105,2,21,0,0,2,4,1,1,1,1,1,112380000.0,11800000000.0
293,0,1,12,107,2,19,0,0,1,4,1,1,1,1,1,102803000.0,11000000000.0
294,0,1,15,107,2,14,0,0,3,4,1,1,1,1,1,154205000.0,16500000000.0
295,0,1,4,108,2,31,0,0,1,4,0,1,1,1,1,175925000.0,19000000000.0
296,0,1,12,108,2,18,0,0,2,4,1,1,1,1,1,97222000.0,10500000000.0
297,0,1,5,108,2,3,0,0,3,4,1,1,1,0,1,212962000.0,23000000000.0
